Date,Open,High,Low,Close,Volume,Adj_Close
2016-07-29,1966.0,1967.0,1915.5,1944.0,9212834,1934.6357421875
2016-08-01,1947.0,1971.77001953125,1887.5,1888.5,5744252,1879.4031982421875
2016-08-02,1874.5,1876.5,1843.0,1849.0,6421597,1840.09326171875
2016-08-03,1851.5,1862.5,1828.0,1836.5,4457989,1827.65380859375
2016-08-04,1855.5,1910.5,1850.0,1894.5,12748258,1885.374267578125
2016-08-05,1898.5,1917.0,1886.5,1899.0,7750967,1889.8525390625
2016-08-08,1907.5,1920.5,1892.5,1919.0,4084244,1909.7562255859375
2016-08-09,1919.0,1932.6400146484375,1916.0,1918.5,3348474,1909.25830078125
2016-08-10,1915.0,1916.5,1894.0,1916.5,4357910,1907.2681884765625
2016-08-11,1884.5,1927.0,1855.5,1922.5,7705066,1913.5916748046875
2016-08-12,1932.0,1966.25,1882.1810302734375,1919.0,5472002,1910.1075439453125
2016-08-15,1925.0,1957.0,1914.0,1932.5,8425491,1923.544677734375
2016-08-16,1923.5,1953.0,1916.5,1930.0,5642695,1921.056396484375
2016-08-17,1938.0,1942.5,1918.5,1927.5,10314768,1918.568359375
2016-08-18,1938.0,1943.5,1913.0,1932.0,5339224,1923.048095703125
2016-08-19,1940.0,1940.0,1920.5,1926.5,6213880,1917.572998046875
2016-08-22,1920.0,1971.6650390625,1892.0,1901.0,4938306,1892.19091796875
2016-08-23,1900.0,1905.5,1886.5,1893.0,3620293,1884.2275390625
2016-08-24,1888.5,1890.5,1869.5,1878.5,6141654,1869.79541015625
2016-08-25,1877.5,1886.5,1863.5,1877.0,6912916,1868.3026123046875
2016-08-26,1880.5,1910.0,1875.0,1895.5,4712186,1886.716552734375
2016-08-30,1887.5,1910.0,1885.5,1901.0,4659894,1892.19091796875
2016-08-31,1892.5,1902.0,1856.0,1860.5,10380618,1851.8790283203125
2016-09-01,1858.5,1866.0,1812.0,1820.5,5151861,1812.0638427734375
2016-09-02,1824.0,1884.0,1818.5,1870.5,11131947,1861.83203125
2016-09-05,1873.5,1912.5,1864.5,1890.5,4025311,1881.7396240234375
2016-09-06,1894.5,1901.0,1853.0,1862.0,4134149,1853.3720703125
2016-09-07,1867.0,1902.5,1867.0,1896.0,5557191,1887.2144775390625
2016-09-08,1907.0,1922.5,1899.5,1914.5,6225252,1905.628662109375
2016-09-09,1909.5,1918.5,1871.5,1880.0,3355712,1871.2884521484375
2016-09-12,1850.0,1859.0,1835.5,1857.0,5222373,1848.395263671875
2016-09-13,1854.5,1862.5,1826.0,1831.5,7790763,1823.0130615234375
2016-09-14,1833.0,1841.5,1809.449951171875,1815.5,3332685,1807.087158203125
2016-09-15,1806.0,1817.5,1792.5,1814.5,4770298,1806.092041015625
2016-09-16,1815.0,1822.5,1794.5,1798.5,22309509,1790.166015625
2016-09-19,1818.5,1847.0,1818.5,1832.5,6048177,1824.00830078125
2016-09-20,1820.5,1843.5,1818.0,1826.5,6836067,1818.0364990234375
2016-09-21,1835.0,1839.5,1822.5,1830.0,4129319,1821.5198974609375
2016-09-22,1845.5,1881.5,1845.5,1854.0,5412684,1845.408935546875
2016-09-23,1851.5,1876.0,1843.5,1865.0,4144469,1856.3577880859375
2016-09-26,1843.0,1850.5,1831.0,1839.0,4779077,1830.4786376953125
2016-09-27,1850.0,1852.5,1791.0,1800.5,8203187,1792.1568603515625
2016-09-28,1803.0,1826.5,1801.5,1805.5,5762372,1797.1337890625
2016-09-29,1894.5,1924.5,1886.0,1924.5,8992826,1915.582275390625
2016-09-30,1903.5,1925.0,1887.5,1914.0,5744959,1905.130859375
2016-10-03,1930.0,1971.0,1925.0,1952.5,6910174,1943.4527587890625
2016-10-04,1963.5,2017.0,1960.0,2004.0,14313881,1994.713623046875
2016-10-05,2003.5,2027.0,1992.0,2026.5,4960859,2017.1094970703125
2016-10-06,2031.5,2038.0,2020.0,2024.5,4487776,2015.118896484375
2016-10-07,2043.0,2089.10498046875,2030.0,2068.5,6430751,2058.9150390625
2016-10-10,2076.0,2120.087890625,2067.0,2116.0,6672236,2106.1953125
2016-10-11,2114.0,2140.0,2096.0,2102.5,8746225,2092.75732421875
2016-10-12,2084.0,2106.0,2073.5,2084.0,5678422,2074.34326171875
2016-10-13,2079.0,2079.705078125,2049.820068359375,2073.0,5303608,2063.393310546875
2016-10-14,2065.0,2110.5,2062.87890625,2084.5,3348808,2074.8408203125
2016-10-17,2077.0,2077.0,2045.5,2050.0,4800899,2040.50048828125
2016-10-18,2071.5,2079.5,2049.5,2054.0,3587947,2044.48291015625
2016-10-19,2060.5,2079.5,2050.5,2075.0,3566402,2065.384765625
2016-10-20,2081.0,2088.5,2065.5,2077.0,3601765,2067.375732421875
2016-10-21,2071.5,2079.0,2067.5,2076.0,4417233,2066.380615234375
2016-10-24,2081.0,2094.5,2066.0,2068.0,3899804,2058.417236328125
2016-10-25,2064.5,2099.0,2064.5,2083.5,4997602,2073.844970703125
2016-10-26,2071.0,2072.0,2027.0,2048.5,4135226,2039.0078125
2016-10-27,2040.0,2081.7080078125,2032.199951171875,2081.5,4444705,2071.85498046875
2016-10-28,2065.0,2079.0,2041.0,2071.0,6006460,2061.40380859375
2016-10-31,2049.0,2058.0,2026.5,2038.5,6854511,2029.0538330078125
2016-11-01,2110.0,2131.0,2093.5,2115.0,8862758,2105.19921875
2016-11-02,2102.5,2114.5,2053.0,2054.5,5581558,2044.979248046875
2016-11-03,2061.5,2107.5,2034.5,2038.5,5965183,2029.0538330078125
2016-11-04,2030.5,2036.0,2006.0,2016.5,6978599,2007.1558837890625
2016-11-07,2048.0,2059.5,2039.5,2055.5,4595825,2045.975341796875
2016-11-08,2064.0,2090.5,2062.0,2084.0,5077429,2074.34326171875
2016-11-09,2028.5,2078.0,2022.0,2073.0,11859519,2063.393310546875
2016-11-10,2074.5,2116.35009765625,2035.0,2038.0,8296293,2028.9197998046875
