Date,Open,High,Low,Close,Volume,Adj_Close
2016-06-03,47950.0,48949.0,46803.0,48500.0,8554985,48391.9921875
2016-06-10,46410.0,46996.0,41522.0,42063.0,17059687,41969.32421875
2016-06-17,41601.0,42605.0,39524.0,39682.0,14098851,39593.6171875
2016-06-24,40499.0,41550.0,38500.0,39647.0,9970289,39558.70703125
2016-07-01,40025.0,40300.0,38879.0,40244.0,11881348,40154.37890625
2016-07-08,40350.0,40649.0,37974.0,38463.0,10543639,38377.33984375
2016-07-15,39027.0,40393.0,38800.0,39756.0,8683140,39667.4609375
2016-07-22,39450.0,40278.0,39205.0,40050.0,7034892,39960.80859375
2016-07-29,39768.0,40640.0,36874.0,36874.0,9684177,36791.8828125
2016-08-05,37770.0,38967.0,35495.0,36338.0,11507838,36257.07421875
2016-08-12,36755.0,39132.0,36685.0,38400.0,7392620,38314.484375
2016-08-19,38584.0,39005.0,36942.0,38200.0,11779167,38114.92578125
2016-08-26,37744.0,38399.0,36300.0,37987.0,11516689,37902.40234375
2016-09-02,38191.0,38390.0,36307.0,37209.0,8962901,37126.13671875
2016-09-09,37288.0,37958.0,36291.0,37030.0,9912326,36947.5390625
2016-09-16,36202.0,38983.0,35804.0,37530.0,21053685,37446.421875
2016-09-23,37606.0,38331.0,36256.0,37182.0,12224121,37099.19921875
2016-09-30,36850.0,38500.0,35500.0,37600.0,12852784,37525.6484375
2016-10-07,37610.0,39545.0,37212.0,39427.0,9567520,39349.04296875
2016-10-14,39205.0,41914.0,38849.0,39509.0,14485332,39430.87890625
2016-10-21,39800.0,40105.0,39038.0,39800.0,8297688,39721.30078125
2016-10-28,39780.0,40147.0,37861.0,38153.0,7352457,38077.55859375
2016-11-04,37898.0,38373.0,36014.0,36300.0,9223485,36228.22265625
2016-11-11,36700.0,38266.0,36000.0,36813.0,11811099,36740.2109375
2016-11-18,36813.0,37244.0,35726.0,36796.0,12510349,36723.24609375
2016-11-25,36989.0,38800.0,36900.0,37208.0,8127503,37134.43359375
2016-12-02,36950.0,38876.0,35620.0,36005.0,17418487,35933.80859375
2016-12-09,36099.0,38343.0,35750.0,38155.0,12036129,38079.5546875
2016-12-16,39105.0,40950.0,39021.0,39698.0,13740701,39619.51171875
2016-12-23,40000.0,40250.0,39380.0,39623.0,4932993,39544.65234375
2016-12-30,39623.0,40415.0,39383.0,39890.0,1780649,39811.12890625
2017-01-06,39890.0,40698.0,39751.0,40360.0,4334961,40280.1953125
2017-01-13,40471.0,42738.0,39851.0,42300.0,7685540,42216.36328125
2017-01-20,42290.0,43098.0,41663.0,41854.0,6482533,41771.25
2017-01-27,41861.0,43620.0,40150.0,40400.0,17442659,40320.1171875
2017-02-03,40890.0,40890.0,39300.0,39399.0,10070971,39321.09375
2017-02-10,39813.0,39845.0,38100.0,39017.0,9190734,38939.859375
2017-02-17,39017.0,39320.0,37200.0,37450.0,13216816,37375.953125
2017-02-24,37650.0,38579.0,36780.0,37040.0,9743165,36966.76171875
2017-03-03,37040.0,38169.0,36700.0,37200.0,11878475,37126.4453125
2017-03-10,37250.0,37439.0,36250.0,36400.0,7627499,36328.0234375
2017-03-17,36450.0,37247.0,35968.0,36852.0,12512068,36783.99609375
2017-03-24,36510.0,36740.0,35550.0,35700.0,5506864,35634.12109375
2017-03-31,35033.0,40113.0,34655.0,39059.0,13286848,38986.92578125
2017-04-07,39391.0,41690.0,39268.0,40823.0,8979593,40747.66796875
2017-04-14,40705.0,41990.0,40662.0,41440.0,8567734,41363.52734375
2017-04-21,40749.0,41065.0,38903.0,39745.0,7536113,39671.65234375
2017-04-28,39300.0,41674.0,39000.0,41000.0,6776828,40924.3359375
2017-05-05,41000.0,41747.0,39086.0,40979.0,7231258,40903.375
2017-05-12,40311.0,41580.0,40264.0,40738.0,5689575,40662.82421875
2017-05-19,40800.0,41500.0,40400.0,40900.0,7165416,40824.51953125
2017-05-26,41000.0,41849.0,39201.0,39295.0,9858427,39222.484375
2017-06-02,39367.0,39856.0,37832.0,38655.0,7292168,38583.6640625
2017-06-09,38714.0,38741.0,36610.0,36918.0,10387212,36849.87109375
2017-06-16,37104.0,37568.0,35700.0,36288.0,10625730,36221.03125
2017-06-23,36418.0,37180.0,35014.0,36060.0,9603083,35993.4609375
2017-06-30,36400.0,37274.0,35900.0,36650.0,7816902,36582.3671875
2017-07-07,36900.0,37850.0,36601.0,36800.0,6207735,36732.08984375
2017-07-14,36800.0,37875.0,36440.0,37875.0,5136664,37805.109375
2017-07-21,37875.0,38300.0,36752.0,36789.0,5285111,36721.11328125
2017-07-28,36900.0,39871.0,36900.0,39871.0,6841923,39797.4296875
